date,vaccinated_daily, vaccinated_total, vaccinated_sisonke, j_and_j, pfizer
2021-02-18,2260,2260,2260,0,0
2021-02-19,4264,6524,6524,0,0
2021-02-20,3890,10414,10414,0,0
2021-02-21,4974,15388,15388,0,0
2021-02-22,7671,23059,23059,0,0
2021-02-23,9256,32315,32315,0,0
2021-02-24,9494,41809,41809,0,0
2021-02-25,10838,52647,52647,0,0
2021-02-26,11001,63648,63648,0,0
2021-02-27,3655,67303,67303,0,0
2021-02-28,3224,70527,70527,0,0
2021-03-01,2520,73047,73047,0,0
2021-03-02,2990,76037,76037,0,0
2021-03-03,7533,83570,83570,0,0
2021-03-04,8459,92029,92029,0,0
2021-03-05,8151,100180,100180,0,0
2021-03-06,1393,101573,101573,0,0
2021-03-07,268,101841,101841,0,0
2021-03-08,5213,107054,107054,0,0
2021-03-09,11193,118247,118247,0,0
2021-03-10,10640,128887,128887,0,0
2021-03-11,9127,138014,138014,0,0
2021-03-12,7201,145215,145215,0,0
2021-03-13,329,145544,145544,0,0
2021-03-14,0,145544,145544,0,0
2021-03-15,2209,147753,147753,0,0
2021-03-16,9533,157286,157286,0,0
2021-03-17,11127,168413,168413,0,0
2021-03-18,8862,177275,177275,0,0
2021-03-19,5708,182983,182983,0,0
2021-03-20,0,182983,182983,0,0
2021-03-21,0,182983,182983,0,0
2021-03-22,0,182983,182983,0,0
2021-03-23,11274,194257,194257,0,0
2021-03-24,13551,207808,207808,0,0
2021-03-25,12321,220129,220129,0,0
2021-03-26,10873,231002,231002,0,0
2021-03-27,603,231605,231605,0,0
2021-03-28,0,231605,231605,0,0
2021-03-29,8060,239665,239665,0,0
2021-03-30,12042,251707,251707,0,0
2021-03-31,12171,263878,263878,0,0
2021-04-01,5224,269102,269102,0,0
2021-04-02,0,269102,269102,0,0
2021-04-03,0,269102,269102,0,0
2021-04-04,0,269102,269102,0,0
2021-04-05,0,269102,269102,0,0
2021-04-06,3336,272438,272438,0,0
2021-04-07,6471,278909,278909,0,0
2021-04-08,4720,283629,283629,0,0
2021-04-09,4739,288368,288368,0,0
2021-04-10,38,288406,288406,0,0
2021-04-11,0,288406,288406,0,0
2021-04-12,1381,289787,289787,0,0
2021-04-13,2836,292623,292623,0,0
2021-04-14,0,292623,292623,0,0
2021-04-15,0,292623,292623,0,0
2021-04-16,0,292623,292623,0,0
2021-04-17,0,292623,292623,0,0
2021-04-18,0,292623,292623,0,0
2021-04-19,0,292623,292623,0,0
2021-04-20,0,292623,292623,0,0
2021-04-21,0,292623,292623,0,0
2021-04-22,0,292623,292623,0,0
2021-04-23,0,292623,292623,0,0
2021-04-24,0,292623,292623,0,0
